Dataset Sentence ID,CTranslate Sentence ID,Cosine Similarity
254,777,0.9988687
255,778,1.0
256,779,0.9990218
257,780,0.99567866
258,781,0.9991122
259,782,1.0000001
260,783,0.9955418
261,784,0.9999999
262,785,0.99917847
263,786,0.99810874
264,787,0.99900115
265,788,0.99614
266,789,0.9982715
267,790,0.9999998
268,791,0.9971997
269,792,0.9980275
270,793,1.0
271,794,0.99748236
272,795,0.999593
273,796,0.9994013
274,797,0.9981613
275,798,0.9999999
276,799,0.99895924
277,800,0.9871341
278,801,0.99946976
279,802,0.99569684
280,803,0.97183746
281,804,0.9980109
282,805,0.9985874
283,806,0.9978305
284,807,1.0
285,808,0.9995622
286,809,0.99821025
287,810,0.997116
288,811,0.99952465
289,812,0.9997603
290,813,0.9980374
291,814,0.999436
292,815,0.9983187
293,816,0.9982163
294,817,0.9996277
295,818,0.9965301
296,819,0.99935246
297,820,0.9995724
298,821,0.9946393
299,822,0.99596727
300,823,0.9999998
301,824,1.0
302,825,0.9998048
303,826,1.0
304,827,0.99999994
305,828,1.0
306,829,1.0
307,830,1.0000001
308,831,0.9999999
309,832,0.99999994
310,833,1.0
311,834,1.0000001
312,835,0.99936306
313,836,1.0
314,837,0.99877226
315,838,1.0000002
316,839,0.9866575
317,840,0.9996162
318,841,1.0000001
319,842,0.99999994
320,843,0.99999994
321,844,0.9997816
322,845,0.99999994
323,846,0.99892133
324,847,1.0000001
325,848,1.0000001
326,849,0.99814105
327,850,1.0000001
328,851,0.9997681
329,852,1.0
330,853,1.0
331,854,0.987355
332,855,0.9992834
333,856,1.0000001
334,857,0.9995159
335,858,0.9988055
336,859,0.99896556
337,860,0.9999999
338,861,0.999855
339,862,1.0
340,863,0.99999994
341,864,1.0000001
342,865,0.99915034
343,866,0.99936444
344,867,0.9968015
345,868,0.99233323
346,869,0.99897295
347,870,1.0000001
348,871,0.99791783
349,872,1.0000001
350,873,0.99903953
351,874,1.0000001
352,875,0.9989972
353,876,0.99999994
354,877,0.9959088
355,878,1.0000001
356,879,0.99903554
357,880,1.0
358,881,0.9998572
359,882,0.9885993
360,883,0.99999994
